game,team,player,game_id,player_id,reason,status
2023-05-18 FC Dallas-Vancouver Whitecaps,FC Dallas,Jesús Jiménez,1701876,433504,injured,Out
2023-05-18 FC Dallas-Vancouver Whitecaps,FC Dallas,Nkosi Tafari Burgess,1701876,399739,injured,Out
2023-05-18 FC Dallas-Vancouver Whitecaps,FC Dallas,Paul Arriola,1701876,132631,injured,Out
2023-05-18 FC Dallas-Vancouver Whitecaps,FC Dallas,Tarik Scott,1701876,474793,injured,Out
2023-05-18 FC Dallas-Vancouver Whitecaps,Vancouver Whitecaps,Max Anchor,1701876,438987,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Los Angeles FC,Eldin Jakupovic,1701851,18310,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Los Angeles FC,Maxime Crépeau,1701851,137263,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Los Angeles FC,Tony Leone,1701851,399744,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Sporting Kansas City,Kayden Pierre,1701851,419819,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Sporting Kansas City,Kortne Ford,1701851,333995,injured doubtful,Doubtful
2023-05-18 Los Angeles FC-Sporting Kansas City,Sporting Kansas City,Nemanja Radoja,1701851,239053,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Sporting Kansas City,Tim Leibold,1701851,140849,injured,Out
2023-05-18 Los Angeles FC-Sporting Kansas City,Sporting Kansas City,William Agada,1701851,442600,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Houston Dynamo FC,Ifunanyachi Achara,1701857,393390,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Houston Dynamo FC,Tate Schmitt,1701857,371299,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Minnesota United,Bakaye Dibassy,1701857,248278,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Minnesota United,Kervin Arriaga,1701857,433488,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Minnesota United,Mikael Marques,1701857,407883,injured,Out
2023-05-18 Minnesota United-Houston Dynamo FC,Minnesota United,Ryen Jiba,1701857,471103,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Edison Azcona,1701859,413765,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Gregore,1701859,355710,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Ian Fray,1701859,445274,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Leonardo Campana,1701859,392650,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Noah Allen,1701859,433513,injured,Out
2023-05-18 Nashville SC-Inter Miami CF,Inter Miami CF,Robbie Robinson,1701859,393147,injured,Out
